City,Year,Population,Household Income ($),Average Rent ($),Median Rent ($),Estimated House Value ($),Unemployment Rate (%),Property Tax Rate (%),Rented Houses,Owned Houses,New Built,Average Sale Price ($),Median Sale Price ($)
Oshawa,2016,159458,   70211,    1070,    1015,397934.0,  9.8,1.561085,   19720,   42875,834,443635.0,"$420,000"
Oshawa, 2021,175383, 86000,  1400,  1300,705000,   15.2,1.304741, 23880, 42750,1416,798221.0,"$765,000"
