City,Leisure Type,Longitude,Latitude
Oakville,park,-79.67070039187357,43.448367550542
Oakville,park,-79.66931215173338,43.449707650541995
Oakville,park,-79.66321364609772,43.445444650542
Oakville,park,-79.66486979963193,43.44380120054201
Oakville,park,-79.67016291992313,43.451683400541995
Oakville,park,-79.66596426942579,43.442314600542005
Oakville,park,-79.67114534722671,43.444380400542
Oakville,playground,-79.6660541,43.44213095054201
Oakville,park,-79.67238458257427,43.443655350542
Oakville,park,-79.67342009999999,43.445041700542
Oakville,park,-79.67005121945377,43.441241550542
Oakville,park,-79.6700077,43.44124960054201
Oakville,park,-79.67389660187587,43.443141700542
Oakville,park,-79.67456759999999,43.443479900542
Oakville,park,-79.66904503342877,43.438750450542
Oakville,park,-79.6777252686127,43.449356350542004
Oakville,park,-79.66857449999999,43.43994760054201
Oakville,playground,-79.67809062202929,43.449392550542
Oakville,park,-79.67237329107971,43.439252600542005
Oakville,park,-79.67697536273548,43.441762450542
Oakville,playground,-79.6723042254578,43.439469050542
Oakville,park,-79.67659451722977,43.440735750542004
Oakville,park,-79.67884173366767,43.43935575054199
Oakville,park,-79.66763835591554,43.458863150542
Oakville,playground,-79.67830168705356,43.440436050542004
Oakville,playground,-79.66746546970859,43.45844720054199
Oakville,playground,-79.67868991231131,43.440469150542
Oakville,park,-79.67373736850412,43.436853850542015
Oakville,park,-79.68186402467612,43.44373390054201
Oakville,park,-79.68190926173685,43.44361120054201
Oakville,park,-79.6820424266052,43.443649300542006
Oakville,playground,-79.68304924999998,43.44777580054201
Oakville,park,-79.68215334871542,43.443407450542004
Oakville,park,-79.68312874185825,43.443230500542
Oakville,playground,-79.6839722363459,43.447157200542016
Oakville,park,-79.6735935689966,43.459790250541985
Oakville,park,-79.67096696700565,43.460766900541984
Oakville,playground,-79.67113280310559,43.46053795054199
Oakville,park,-79.68597818813353,43.45041805054201
Oakville,park,-79.67634763649468,43.45992735054199
Oakville,playground,-79.67737501162983,43.45939880054199
Oakville,park,-79.68561740816793,43.44151490054201
Oakville,park,-79.69023893155405,43.450990850542006
Oakville,park,-79.65987614761124,43.46267205054198
Oakville,park,-79.65497851870178,43.46090560054199
Oakville,playground,-79.68646519999999,43.44157325054201
Oakville,playground,-79.68664604830235,43.441443450542
Oakville,playground,-79.6868394067732,43.441615550542
Oakville,playground,-79.66285872569583,43.46314505054198
Oakville,playground,-79.65501826526352,43.46111175054199
Oakville,park,-79.68371958816144,43.436821000542004
Oakville,playground,-79.6839521288893,43.43715595054199
Oakville,playground,-79.6841148418831,43.436970100542005
Oakville,park,-79.68872275969173,43.441350200542004
Oakville,playground,-79.6883940301955,43.441519950542
