"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2016 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Toronto,1.4,a ,2.9,a ,"1,240",a ,"1,192",a ,3.1,a ,"316,913",
Trent Hills (MU),**,,**,,**,,**,,**,,17,
Wasaga Beach (T),**,,**,,**,,**,,**,,5,
West Grey (MU),0.0,d ,3.8,d ,712,b ,700,c ,-3.8,c ,149,
West Nipissing (M),2.4,c ,2.4,c ,719,a ,700,a ,++,,425,
Windsor,2.8,a ,3.9,b ,761,a ,750,a ,2.7,a ,"15,715",
Woodstock,0.8,a ,2.0,b ,"1,028",a ,910,a ,2.8,b ,"2,583",
Ontario,2.2,a ,3.7,a ,"1,095",a ,"1,040",a ,3.0,a ,"672,837",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
Source,CMHC Rental Market Survey
