"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2017 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Petawawa,2.0,c ,2.6,c ,784,a ,750,a ,++,,363,
Peterborough,1.1,a ,2.0,a ,949,a ,930,a ,3.0,b ,"6,394",
Port Hope,1.6,b ,2.2,b ,"1,076",a ,"1,090",b ,2.8,c ,572,
Prince Edward County CY,3.4,b ,4.1,b ,870,a ,895,a ,++,,499,
Sarnia,2.5,a ,4.3,b ,915,a ,856,a ,1.9,c ,"6,476",
Saugeen Shores T,2.0,c ,3.8,d ,817,a ,846,b ,3.2,c ,494,
Sault Ste. Marie,5.1,b ,8.2,b ,837,a ,826,a ,3.6,c ,"5,008",
Scugog TP,5.7,a ,5.7,a ,865,a ,850,a ,++,,143,
St. Catharines - Niagara,1.4,a ,2.6,a ,938,a ,915,a ,2.5,b ,"16,752",
Stratford,1.8,a ,5.8,b ,847,a ,827,a ,2.3,b ,"2,012",
Temiskaming Shores CY,8.1,c ,9.9,b ,694,a ,695,a ,1.0,a ,317,
The Nation / La Nation M,**,,**,,673,b ,650,c ,++,,81,
Thunder Bay,3.3,b ,3.7,b ,895,a ,889,a ,3.5,c ,"5,756",
Tillsonburg,1.3,a ,2.7,c ,826,a ,825,a ,**,,896,
Timmins,5.8,c ,8.8,b ,877,a ,900,a ,**,,"1,740",
Toronto,1.1,a ,2.3,a ,"1,308",a ,"1,250",a ,4.4,a ,"319,282",
Trent Hills MU,**,,**,,**,,**,,**,,17,
Wasaga Beach,**,,**,,**,,**,,**,,5,
West Grey MU,**,,**,,735,b ,700,a ,++,,149,
West Nipissing / Nipissing Ouest M,1.3,d ,2.8,c ,750,a ,700,a ,2.9,c ,429,
Windsor,2.4,a ,3.9,b ,780,a ,769,a ,3.1,b ,"15,803",
Woodstock,2.1,c ,2.7,b ,"1,123",a ,"1,066",a ,4.4,c ,"2,815",
Ontario,1.6,a ,2.9,a ,"1,146",a ,"1,095",a ,3.8,a ,"682,053",

Notes
"The following letter codes are used to indicate the reliability of the estimates: a - Excellent, b- Very good, c - Good, d - Fair (Use with Caution)"
** Data suppressed to protect confidentiality or data not statistically reliable
++ Change in rent is not statistically significant. This means that the change in rent is not statistically different than zero (0).  (Applies only to % Change of Average Rent Tables).
 - No units exist in the universe for this category
n/a: Not applicable
Source,CMHC Rental Market Survey
