"Ontario — Rental Market Statistics Summary by Metropolitan Areas, Census Agglomerations and Cities"
October 2017 Row / Apartment Bedroom Type - Total
,Vacancy Rate (%),,Availability Rate (%),,Average Rent ($),,Median Rent ($),,% Change,,Units,
Arnprior,**,,2.1,c ,876,a ,800,a ,**,,566,
Barrie,2.8,a ,4.9,b ,"1,177",a ,"1,176",a ,4.8,b ,"4,137",
Belleville,2.2,a ,2.9,a ,963,a ,932,a ,4.9,c ,"6,007",
Bracebridge T,1.9,c ,2.3,c ,938,a ,900,b ,3.3,d ,307,
Brantford,1.3,a ,2.2,a ,973,a ,940,a ,3.2,c ,"5,550",
Brighton MU,0.5,a ,1.1,a ,840,a ,825,a ,9.7,c ,187,
Brock TP,**,,**,,900,a ,950,b ,4.5,a ,102,
Brockville,3.2,c ,4.7,c ,816,a ,836,a ,1.8,c ,"2,162",
Carleton Place,**,,**,,803,b ,780,b ,**,,421,
Centre Wellington,2.2,b ,2.7,b ,948,a ,961,a ,2.5,a ,773,
Chatham-Kent,2.7,a ,3.8,b ,732,a ,725,a ,2.2,a ,"4,959",
Cobourg,1.1,a ,1.8,c ,"1,020",a ,995,a ,4.5,d ,"1,088",
Collingwood,1.1,a ,2.6,b ,975,a ,999,a ,6.0,c ,549,
Cornwall,3.7,c ,4.2,b ,790,a ,776,a ,2.6,a ,"3,986",
Elliot Lake,9.8,a ,12.6,a ,613,a ,595,a ,2.5,a ,"1,366",
Erin T,**,,**,,**,,**,,**,,11,
Essex T,0.7,b ,2.0,c ,716,a ,700,b ,++,,267,
Gravenhurst T,1.0,a ,3.0,c ,901,a ,888,b ,3.5,b ,260,
Greater Napanee T,2.5,c ,3.3,c ,826,a ,805,a ,**,,595,
Greater Sudbury / Grand Sudbury,4.3,b ,4.6,a ,982,a ,950,a ,3.2,c ,"12,906",
Guelph,1.2,a ,2.4,a ,"1,092",a ,"1,065",a ,3.8,b ,"7,524",
Haldimand County CY,0.3,b ,0.8,d ,764,a ,775,a ,0.5,b ,462,
Hamilton,2.3,a ,3.5,b ,"1,033",a ,967,a ,5.2,b ,"46,025",
Hawkesbury,5.1,d ,5.1,d ,673,a ,675,a ,++,,707,
Huntsville T,2.0,c ,2.0,c ,"1,022",a ,990,a ,3.4,c ,374,
Ingersoll,0.0,d ,2.1,a ,836,a ,830,a ,**,,262,
Kawartha Lakes,0.7,a ,1.2,a ,"1,006",a ,"1,000",a ,++,,"1,489",
Kenora,2.8,b ,2.8,b ,775,a ,756,a ,7.4,b ,375,
Kincardine MU,0.0,d ,3.8,d ,"1,026",a ,"1,050",a ,**,,232,
Kingston,0.7,a ,1.8,a ,"1,109",a ,"1,000",a ,3.1,b ,"14,056",
Kitchener - Cambridge - Waterloo,1.9,a ,3.5,a ,"1,042",a ,992,a ,3.3,a ,"35,936",
Lambton Shores MU,3.6,c ,3.6,c ,857,a ,810,a ,2.6,c ,136,
Leamington,3.0,b ,4.2,c ,816,a ,801,a ,4.0,c ,"1,225",
London,1.8,a ,3.4,a ,964,a ,893,a ,3.3,b ,"48,125",
Meaford MU,0.5,b ,1.3,a ,810,a ,800,a ,2.7,c ,255,
Midland,1.0,a ,1.7,c ,863,a ,862,a ,4.0,d ,"1,135",
Norfolk,2.1,c ,4.4,c ,730,a ,720,a ,**,,907,
North Bay,4.3,d ,5.1,c ,883,a ,900,a ,3.1,d ,"3,488",
North Perth MU,**,,**,,703,a ,700,a ,-4.4,d ,431,
Orillia,1.3,a ,2.1,c ,956,a ,950,a ,3.9,c ,"1,787",
Oshawa,2.0,a ,2.6,a ,"1,152",a ,"1,122",a ,5.7,c ,"12,574",
Ottawa,1.7,a ,3.3,a ,"1,136",a ,"1,065",a ,2.2,a ,"69,573",
Owen Sound,2.0,b ,4.2,b ,825,a ,820,a ,1.6,c ,"1,808",
Pembroke,2.8,c ,3.6,c ,750,a ,750,a ,**,,965,
