x,y,DIRECTION_MAX_GUST,HEATING_DEGREE_DAYS,MIN_TEMPERATURE,MIN_REL_HUMIDITY,PROVINCE_CODE,COOLING_DEGREE_DAYS_FLAG,LOCAL_DATE,STATION_NAME,COOLING_DEGREE_DAYS,MIN_TEMPERATURE_FLAG,LOCAL_MONTH,LOCAL_DAY,TOTAL_PRECIPITATION_FLAG,LOCAL_YEAR,MAX_TEMPERATURE_FLAG,SPEED_MAX_GUST_FLAG,TOTAL_PRECIPITATION,MAX_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST_FLAG,CLIMATE_IDENTIFIER,SNOW_ON_GROUND,MEAN_TEMPERATURE,HEATING_DEGREE_DAYS_FLAG,TOTAL_SNOW,TOTAL_RAIN,MAX_TEMPERATURE,MAX_REL_HUMIDITY,MEAN_TEMPERATURE_FLAG,SPEED_MAX_GUST,TOTAL_SNOW_FLAG,SNOW_ON_GROUND_FLAG,TOTAL_RAIN_FLAG,MIN_REL_HUMIDITY_FLAG,ID
-79.69696166666667,43.4280575,,0,18.5,,ON,,1990-04-26 00:00:00,OAKVILLE GERARD,7.5,,4,26,,1990,,,0,,,6155PD4,,25.5,,0,0,32.5,,,,,,,,6155PD4.1990.4.26
-79.69696166666667,43.4280575,,0,17,,ON,,1990-04-27 00:00:00,OAKVILLE GERARD,6.3,,4,27,,1990,,,0,,,6155PD4,,24.3,,0,0,31.5,,,,,,,,6155PD4.1990.4.27
-79.69696166666667,43.4280575,,1.5,11.5,,ON,,1990-04-28 00:00:00,OAKVILLE GERARD,0,,4,28,,1990,,,0,,,6155PD4,,16.5,,0,0,21.5,,,,,,,,6155PD4.1990.4.28
-79.69696166666667,43.4280575,,2.7,8.5,,ON,,1990-04-29 00:00:00,OAKVILLE GERARD,0,,4,29,,1990,,,0,,,6155PD4,,15.3,,0,0,22,,,,,,,,6155PD4.1990.4.29
-79.69696166666667,43.4280575,,4.5,9.5,,ON,,1990-04-30 00:00:00,OAKVILLE GERARD,0,,4,30,,1990,,,0,,,6155PD4,,13.5,,0,0,17.5,,,,,,,,6155PD4.1990.4.30
-79.69696166666667,43.4280575,,3,10,,ON,,1990-05-01 00:00:00,OAKVILLE GERARD,0,,5,1,,1990,,,0,,,6155PD4,,15,,0,0,20,,,,,,,,6155PD4.1990.5.1
-79.69696166666667,43.4280575,,9.5,1,,ON,,1990-05-02 00:00:00,OAKVILLE GERARD,0,,5,2,,1990,,,0,,,6155PD4,,8.5,,0,0,16,,,,,,,,6155PD4.1990.5.2
-79.69696166666667,43.4280575,,10.7,0.5,,ON,,1990-05-03 00:00:00,OAKVILLE GERARD,0,,5,3,,1990,,,0,,,6155PD4,,7.3,,0,0,14,,,,,,,,6155PD4.1990.5.3
-79.69696166666667,43.4280575,,11,2,,ON,,1990-05-04 00:00:00,OAKVILLE GERARD,0,,5,4,,1990,,,16.1,,,6155PD4,,7,,0,16.1,12,,,,,,,,6155PD4.1990.5.4
-79.69696166666667,43.4280575,,8,5.5,,ON,,1990-05-05 00:00:00,OAKVILLE GERARD,0,,5,5,,1990,,,0,,,6155PD4,,10,,0,0,14.5,,,,,,,,6155PD4.1990.5.5
-79.69696166666667,43.4280575,,6.2,6,,ON,,1990-05-06 00:00:00,OAKVILLE GERARD,0,,5,6,,1990,,,0.4,,,6155PD4,,11.8,,0,0.4,17.5,,,,,,,,6155PD4.1990.5.6
-79.69696166666667,43.4280575,,8.2,6,,ON,,1990-05-07 00:00:00,OAKVILLE GERARD,0,,5,7,T,1990,,,0,,,6155PD4,,9.8,,0,0,13.5,,,,,,T,,6155PD4.1990.5.7
-79.69696166666667,43.4280575,,3.5,4.5,,ON,,1990-05-08 00:00:00,OAKVILLE GERARD,0,,5,8,,1990,,,0,,,6155PD4,,14.5,,0,0,24.5,,,,,,,,6155PD4.1990.5.8
-79.69696166666667,43.4280575,,0,10,,ON,,1990-05-09 00:00:00,OAKVILLE GERARD,0,E,5,9,,1990,,,0.6,,,6155PD4,,18,,0,0.6,26,,,,,,,,6155PD4.1990.5.9
-79.69696166666667,43.4280575,,4.7,9.5,,ON,,1990-05-10 00:00:00,OAKVILLE GERARD,0,,5,10,,1990,,,7,,,6155PD4,,13.3,,0,7,17,,,,,,,,6155PD4.1990.5.10
-79.69696166666667,43.4280575,,9.5,3,,ON,,1990-05-11 00:00:00,OAKVILLE GERARD,0,,5,11,,1990,,,0,,,6155PD4,,8.5,,0,0,14,,,,,,,,6155PD4.1990.5.11
-79.69696166666667,43.4280575,,10.7,1,,ON,,1990-05-12 00:00:00,OAKVILLE GERARD,0,,5,12,,1990,,,21.6,,,6155PD4,,7.3,,0,21.6,13.5,,,,,,,,6155PD4.1990.5.12
-79.69696166666667,43.4280575,,8.5,6,,ON,,1990-05-13 00:00:00,OAKVILLE GERARD,0,,5,13,,1990,,,7.5,,,6155PD4,,9.5,,0,7.5,13,,,,,,,,6155PD4.1990.5.13
-79.69696166666667,43.4280575,,6.7,3.5,,ON,,1990-05-14 00:00:00,OAKVILLE GERARD,0,,5,14,,1990,,,0.2,,,6155PD4,,11.3,,0,0.2,19,,,,,,,,6155PD4.1990.5.14
-79.69696166666667,43.4280575,,4.5,7,,ON,,1990-05-15 00:00:00,OAKVILLE GERARD,0,,5,15,,1990,,,7.3,,,6155PD4,,13.5,,0,7.3,20,,,,,,,,6155PD4.1990.5.15
-79.69696166666667,43.4280575,,9,7.5,,ON,,1990-05-16 00:00:00,OAKVILLE GERARD,0,,5,16,,1990,,,27.1,,,6155PD4,,9,,0,27.1,10.5,,,,,,,,6155PD4.1990.5.16
-79.69696166666667,43.4280575,,4.2,7.5,,ON,,1990-05-17 00:00:00,OAKVILLE GERARD,0,,5,17,,1990,,,9.6,,,6155PD4,,13.8,,0,9.6,20,,,,,,,,6155PD4.1990.5.17
-79.69696166666667,43.4280575,,6.5,8,,ON,,1990-05-18 00:00:00,OAKVILLE GERARD,0,,5,18,,1990,,,3,,,6155PD4,,11.5,,0,3,15,,,,,,,,6155PD4.1990.5.18
-79.69696166666667,43.4280575,,7,5,,ON,,1990-05-19 00:00:00,OAKVILLE GERARD,0,,5,19,,1990,,,7.8,,,6155PD4,,11,,0,7.8,17,,,,,,,,6155PD4.1990.5.19
-79.69696166666667,43.4280575,,10.5,6,,ON,,1990-05-20 00:00:00,OAKVILLE GERARD,0,,5,20,,1990,,,6.7,,,6155PD4,,7.5,,0,6.7,9,,,,,,,,6155PD4.1990.5.20
-79.69696166666667,43.4280575,,7.7,8,,ON,,1990-05-21 00:00:00,OAKVILLE GERARD,0,,5,21,T,1990,,,0,,,6155PD4,,10.3,,0,0,12.5,,,,,,T,,6155PD4.1990.5.21
-79.69696166666667,43.4280575,,6.7,4.5,,ON,,1990-05-22 00:00:00,OAKVILLE GERARD,0,,5,22,,1990,,,0,,,6155PD4,,11.3,,0,0,18,,,,,,,,6155PD4.1990.5.22
-79.69696166666667,43.4280575,,3.2,8.5,,ON,,1990-05-23 00:00:00,OAKVILLE GERARD,0,,5,23,,1990,,,0.2,,,6155PD4,,14.8,,0,0.2,21,,,,,,,,6155PD4.1990.5.23
-79.69696166666667,43.4280575,,7,6.5,,ON,,1990-05-24 00:00:00,OAKVILLE GERARD,0,,5,24,,1990,,,0,,,6155PD4,,11,,0,0,15.5,,,,,,,,6155PD4.1990.5.24
-79.69696166666667,43.4280575,,4.5,6,,ON,,1990-05-25 00:00:00,OAKVILLE GERARD,0,,5,25,,1990,,,0,,,6155PD4,,13.5,,0,0,21,,,,,,,,6155PD4.1990.5.25
-79.69696166666667,43.4280575,,3,9.5,,ON,,1990-05-26 00:00:00,OAKVILLE GERARD,0,,5,26,,1990,,,0,,,6155PD4,,15,,0,0,20.5,,,,,,,,6155PD4.1990.5.26
-79.69696166666667,43.4280575,,2.2,7.5,,ON,,1990-05-27 00:00:00,OAKVILLE GERARD,0,,5,27,,1990,,,0,,,6155PD4,,15.8,,0,0,24,,,,,,,,6155PD4.1990.5.27
-79.69696166666667,43.4280575,,1.7,9,,ON,,1990-05-28 00:00:00,OAKVILLE GERARD,0,,5,28,,1990,,,4.2,,,6155PD4,,16.3,,0,4.2,23.5,,,,,,,,6155PD4.1990.5.28
-79.69696166666667,43.4280575,,8.5,8,,ON,,1990-05-29 00:00:00,OAKVILLE GERARD,0,,5,29,,1990,,,0.2,,,6155PD4,,9.5,,0,0.2,11,,,,,,,,6155PD4.1990.5.29
-79.69696166666667,43.4280575,,5,6.5,,ON,,1990-05-30 00:00:00,OAKVILLE GERARD,0,,5,30,,1990,,,0,,,6155PD4,,13,,0,0,19.5,,,,,,,,6155PD4.1990.5.30
-79.69696166666667,43.4280575,,1.7,7.5,,ON,,1990-05-31 00:00:00,OAKVILLE GERARD,0,,5,31,,1990,,,0,,,6155PD4,,16.3,,0,0,25,,,,,,,,6155PD4.1990.5.31
-79.69696166666667,43.4280575,,1,8,,ON,,1990-06-01 00:00:00,OAKVILLE GERARD,0,,6,1,,1990,,,0,,,6155PD4,,17,,0,0,26,,,,,,,,6155PD4.1990.6.1
-79.69696166666667,43.4280575,,0,13,,ON,,1990-06-02 00:00:00,OAKVILLE GERARD,2.8,,6,2,,1990,,,11.6,,,6155PD4,,20.8,,0,11.6,28.5,,,,,,,,6155PD4.1990.6.2
-79.69696166666667,43.4280575,,0,18,,ON,,1990-06-03 00:00:00,OAKVILLE GERARD,4,,6,3,,1990,,,5.4,,,6155PD4,,22,,0,5.4,26,,,,,,,,6155PD4.1990.6.3
-79.69696166666667,43.4280575,,5.7,9,,ON,,1990-06-04 00:00:00,OAKVILLE GERARD,0,,6,4,T,1990,,,0,,,6155PD4,,12.3,,0,0,15.5,,,,,,T,,6155PD4.1990.6.4
-79.69696166666667,43.4280575,,4.5,5.5,,ON,,1990-06-05 00:00:00,OAKVILLE GERARD,0,,6,5,,1990,,,1.3,,,6155PD4,,13.5,,0,1.3,21.5,,,,,,,,6155PD4.1990.6.5
-79.69696166666667,43.4280575,,0.2,10,,ON,,1990-06-06 00:00:00,OAKVILLE GERARD,0,,6,6,,1990,,,0,,,6155PD4,,17.8,,0,0,25.5,,,,,,,,6155PD4.1990.6.6
-79.69696166666667,43.4280575,,0,14,,ON,,1990-06-07 00:00:00,OAKVILLE GERARD,2.3,,6,7,,1990,,,0,,,6155PD4,,20.3,,0,0,26.5,,,,,,,,6155PD4.1990.6.7
-79.69696166666667,43.4280575,,4.7,11.5,,ON,,1990-06-08 00:00:00,OAKVILLE GERARD,0,,6,8,,1990,,,8.4,,,6155PD4,,13.3,,0,8.4,15,,,,,,,,6155PD4.1990.6.8
-79.69696166666667,43.4280575,,0,10.5,,ON,,1990-06-09 00:00:00,OAKVILLE GERARD,1,,6,9,,1990,,,0.8,,,6155PD4,,19,,0,0.8,27.5,,,,,,,,6155PD4.1990.6.9
-79.69696166666667,43.4280575,,0.2,13.5,,ON,,1990-06-10 00:00:00,OAKVILLE GERARD,0,,6,10,,1990,,,0,,,6155PD4,,17.8,,0,0,22,,,,,,,,6155PD4.1990.6.10
-79.69696166666667,43.4280575,,0,14,,ON,,1990-06-11 00:00:00,OAKVILLE GERARD,1,,6,11,,1990,,,0,,,6155PD4,,19,,0,0,24,,,,,,,,6155PD4.1990.6.11
