2021 Intended Markets - All,Single,Semi-Detached,Row,Apartment,All
Aldershot,15,0,87,308,410
Burlington (East),18,0,6,0,24
Burlington (Northwest),1,0,0,0,1
Burlington (Rural),15,50,0,0,65
Burlington (Southwest),41,0,11,195,247
Burlington,90,50,104,503,747
,,,,,
Source,CMHC Starts and Completions Survey,,,,
