Primary Year,"Close Price, Median"
2013,"$269,500"
2014,"$295,000"
2015,"$334,950"
2016,"$420,000"
2017,"$500,000"
2018,"$483,000"
2019,"$490,000"
2020,"$579,450"
2021,"$765,000"
2022,"$840,000"
2023,"$780,000"
