Address,Neighbourhood,Floor Size,Latitude,Longitude,Date of Status,Price Listed,Status,Sold Price,Type of House,Bedrooms,Bathrooms,Garage,City
1312 Saddler Circ ,Glen Abbey,3177.0,-79.7391,43.42849,2024-02-26,2200000.0,For Sale,,Detached,4,4,2, Oakville
342 Claremont Cres ,Eastlake,1987.0,-79.64113,43.48546,2024-02-26,1880000.0,Sold Conditional,1880000.0,Detached,3,3,2, Oakville
1389 Winterbourne Dr ,Clearview,2544.0,-79.66659,43.49983,2024-02-26,1778000.0,Sold,1800000.0,Detached,4,4,2, Oakville
119 Glenashton Dr ,Uptown Core,2250.0,-79.71951,43.47661,2024-02-26,1190000.0,Sold,1186000.0,Semi-Detached,3,3,2, Oakville
530 Maplehurst Ave ,Bronte East,3250.0,-79.69972,43.42912,2024-02-26,3288000.0,Sold,3288000.0,Detached,4,6,2, Oakville
157 - 405 Dundas St ,Rural Oakville,1299.0,-79.7419,43.46816,2024-02-26,999000.0,For Sale,,Condo Townhouse,2,3,1, Oakville
403 - 3028 Creekshore Common ,Rural Oakville,1099.0,-79.73804,43.47211,2024-02-26,899900.0,Suspended,,Condo Apt,2,2,2, Oakville
133 Westside Dr ,Old Oakville,1300.0,-79.68095,43.44179,2024-02-26,1249000.0,Sold,1240000.0,Detached,2,2,1, Oakville
250 Wedgewood Dr ,Eastlake,4250.0,-79.65219,43.46898,2024-02-26,5695000.0,Terminated,,Detached,4,7,2, Oakville
332 Sawyer Rd ,Bronte West,4250.0,-79.71344,43.40571,2024-02-26,3699000.0,For Sale,,Detached,5,6,2, Oakville
118 Ridge Dr ,College Park,3250.0,-79.69431,43.45993,2024-02-26,1488000.0,For Sale,,Detached,3,2,2, Oakville
2094 Elmhurst Ave ,Eastlake,5000.0,-79.64409,43.47399,2024-02-26,4580000.0,Sold,4375000.0,Detached,5,9,3, Oakville
124 Glenashton Dr ,River Oaks,1300.0,-79.71933,43.47617,2024-02-25,999000.0,For Sale,,Freehold Townhouse,3,4,1, Oakville
3287 Harasym Tr ,Rural Oakville,2250.0,-79.7642383,43.4580752,2024-02-26,1788888.0,Sold,1720000.0,Detached,4,3,1, Oakville
2432 Felhaber Cres ,Iroquois Ridge North,2133.0,-79.70822,43.49429,2024-02-26,1499000.0,For Sale,,Semi-Detached,4,4,1, Oakville
2395 Ventura Dr ,Bronte West,1750.0,-79.71614,43.40335,2024-02-26,1500000.0,For Sale,,Detached,3,2,2, Oakville
316 - 50 Kaitting Tr ,Rural Oakville,849.0,-79.73201,43.47841,2024-02-26,799900.0,Sold Conditional,799900.0,Condo Apt,2,2,2, Oakville
316 - 50 Kitting Trail ,GO Glenorchy,854.0,-79.731476,43.479388,2024-02-26,799900.0,Sold Conditional,799900.0,"Apartment Unit, Condominium",2,2,2, Oakville
1346 Sandpiper Rd ,West Oak Trails,2928.0,-79.7396,43.44399,2024-02-24,2128786.0,For Sale,,Detached,4,4,2, Oakville
2177 Whitworth Dr ,Palermo West,2750.0,-79.77163,43.42257,2024-02-24,1699000.0,Sold,1675000.0,Detached,3,4,1, Oakville
1534 Oxford Ave ,College Park,900.0,-79.7156,43.46171,2024-02-24,1388888.0,Sold,1342500.0,Detached,3,2,0, Oakville
107 - 269 Georgian Dr ,Uptown Core,1099.0,-79.71568,43.48133,2024-02-24,749900.0,Sold,745000.0,Condo Townhouse,2,2,1, Oakville
1503 Kenilworth Cres ,Iroquois Ridge South,,-79.68585,43.48803,2024-02-24,1368000.0,For Sale,,Link,3,3,2, Oakville
340 - 2485 Taunton Rd Rd S ,Uptown Core,649.0,-79.71938,43.4863,2024-02-24,579900.0,For Sale,,Condo Apt,1,1,1, Oakville
606 - 2175 Marine Dr ,Bronte West,1299.0,-79.70326,43.40026,2024-02-24,969000.0,Sold Conditional,969000.0,Condo Apt,2,2,1, Oakville
502 - 1300 Marlborough Rd ,College Park,1299.0,-79.69273,43.47004,2024-02-24,699900.0,Terminated,,Condo Apt,3,2,1, Oakville
3521 Post Rd ,Rural Oakville,2250.0,-79.74304,43.4944896,2024-02-24,1550000.0,For Sale,,Freehold Townhouse,4,5,1, Oakville
425 Silver Maple Rd ,Rural Oakville,1750.0,-79.7168,43.49208,2024-02-24,999999.0,Sold,1125000.0,Freehold Townhouse,3,3,1, Oakville
220 - 102 Grovewood Common Cres ,Rural Oakville,549.0,-79.72708,43.48238,2024-02-24,568888.0,For Sale,,Condo Apt,1,1,1, Oakville
1369 Clearview Dr ,Clearview,3250.0,-79.66383,43.50087,2024-02-24,1989000.0,For Sale,,Detached,4,4,2, Oakville
235 Northwood Dr ,Glen Abbey,1750.0,-79.70823,43.44589,2024-02-24,1449000.0,For Sale,,Link,3,4,1, Oakville
220 - 102 Grovewood Common ,Rural Oakville,589.0,-79.726097,43.483478,2024-02-24,568888.0,For Sale,,Condo/Apt Unit,1,1,1, Oakville
1325 Sheldon Ave ,Bronte East,3250.0,-79.70455,43.41939,2024-02-24,3499000.0,For Sale,,Detached,4,4,2, Oakville
24 - 2411 Sovereign St ,Bronte West,1099.0,-79.7123,43.39665,2024-02-24,939800.0,Sold Conditional,939800.0,Condo Townhouse,3,2,1, Oakville
1199 Sixth Line ,College Park,1785.0,-79.69941,43.45811,2024-02-24,1349999.0,For Sale,,Detached,4,2,2, Oakville
6-02 - 2420 Baronwood Dr E ,West Oak Trails,949.0,-79.77046,43.43332,2024-02-23,699999.0,Sold Conditional,699999.0,Condo Townhouse,2,2,1, Oakville
423 - 3200 William Coltson Ave ,Rural Oakville,749.0,-79.7259381,43.493545,2024-02-23,659900.0,Sold,660000.0,Condo Apt,1,1,2, Oakville
On - 2148 Arbourview Dr S ,West Oak Trails,4250.0,-79.75038,43.43456,2024-02-23,2780800.0,For Sale,,Detached,4,5,2, Oakville
1211 Pinegrove Rd ,Bronte East,4250.0,-79.70677,43.42646,2024-02-23,3099000.0,For Sale,,Detached,4,5,2, Oakville
459 - 2481 Taunton Rd ,Uptown Core,749.0,-79.71976,43.48575,2024-02-23,635000.0,For Sale,,Condo Apt,1,2,1, Oakville
